BackendServerUrl,ExternalUrl,Name
https://pug44c.infotechfl.com:1444/,https://pug44c.infotechfl.com:1444/,pug44c.infotechfl.com-AuthModel v4
https://pug44e.infotechfl.com:1443/AuthModelService.svc/,https://pug44e.infotechfl.com:1443/AuthModelService.svc/,pug44e.infotechfl.com-AuthModel v3
https://pug44e.infotechfl.com:1444/,https://pug44e.infotechfl.com:1444/,pug44e.infotechfl.com-AuthModel v4
https://pug44d.infotechfl.com:1443/AuthModelService.svc/,https://pug44d.infotechfl.com:1443/AuthModelService.svc/,pug44d.infotechfl.com-AuthModel v3
https://pug44d.infotechfl.com:1444/,https://pug44d.infotechfl.com:1444/,pug44d.infotechfl.com-AuthModel v4
https://beta-oh.infotechfl.com/,https://beta-oh.infotechfl.com/,beta-oh.infotechfl.com
https://beta-mt.infotechfl.com/,https://beta-mt.infotechfl.com/,beta-mt.infotechfl.com
https://beta-oh.infotechfl.com:1443/AuthModelService.svc/,https://beta-oh.infotechfl.com:1443/AuthModelService.svc/,beta-oh.infotechfl.com-AuthModel-beta
https://beta-mt.infotechfl.com:1443/AuthModelService.svc/,https://beta-mt.infotechfl.com:1443/AuthModelService.svc/,beta-mt.infotechfl.com-AuthModel-beta
https://prtraining44a.infotechfl.com/,https://prtraining44a.infotechfl.com/,GenTrn44a
https://prtraining44a.infotechfl.com:1443/AuthModelService.svc/,https://prtraining44a.infotechfl.com:1443/AuthModelService.svc/,GenTrn44a -AuthModel
https://prtraining44b.infotechfl.com/,https://prtraining44b.infotechfl.com/,GenTrn44b
https://prtraining44b.infotechfl.com:1444/AuthModelService.svc/,https://prtraining44b.infotechfl.com:1444/AuthModelService.svc/,GenTrn44b -AuthModel
https://prtraining44c.infotechfl.com/,https://prtraining44c.infotechfl.com/,GenTrn44c
https://prtraining44c.infotechfl.com:1445/AuthModelService.svc/,https://prtraining44c.infotechfl.com:1445/AuthModelService.svc/,GenTrn44c -AuthModel
https://prtraining1.infotechfl.com/,https://prtraining1.infotechfl.com/,GenTrn1
https://prtraining1.infotechfl.com:1448/,https://prtraining1.infotechfl.com:1448/,GenTrn1-1448
